Logistics SAPI shipments Event Timestamp Time,Logistics SAPI shipments Shippingaddress Countrycode,Logistics SAPI shipments Shippingaddress Locality
2017-02-09 09:11:02,FR,LUZY
2017-02-09 09:11:03,NO,Ålesund
2017-02-09 09:11:03,US,Suisun City
2017-02-09 09:11:05,US,Los Angeles
2017-02-09 09:11:06,FR,ROANNE
2017-02-09 09:11:07,CA,Toronto
2017-02-09 09:11:08,FR,MACHAULT
2017-02-09 09:11:11,FR,Ligné
2017-02-09 09:11:13,US,Lubbock
2017-02-09 09:11:15,IN,LUCKNOW
2017-02-09 09:11:16,IN,JODHPUR
2017-02-09 09:11:17,FR,FOURQUES
2017-02-09 09:11:17,GB,Bridgend
2017-02-09 09:11:19,US,Baltimore
2017-02-09 09:11:22,FR,PARIS
2017-02-09 09:11:22,IN,PONDA
2017-02-09 09:11:25,US,Austin
2017-02-09 09:11:26,US,Orlando
2017-02-09 09:11:27,FR,Meaux
2017-02-09 09:11:27,US,Bowie
2017-02-09 09:11:30,IN,MUMBAI
2017-02-09 09:11:33,US,Beech grove
2017-02-09 09:11:34,GB,Oswestry
2017-02-09 09:11:35,US,Newburyport
2017-02-09 09:11:37,IN,Chennai
2017-02-09 09:11:37,US,Chicago
2017-02-09 09:11:40,NO,Egersund
2017-02-09 09:11:40,US,Brandon
2017-02-09 09:11:43,US,Patterson
2017-02-09 09:11:43,FR,VILLEVEILLE
2017-02-09 09:11:43,US,Tallahassee
2017-02-09 09:11:44,IN,Bangalore
2017-02-09 09:11:45,GB,Derry
2017-02-09 09:11:45,FR,DOLUS LE SEC
2017-02-09 09:11:48,GB,Walsall
2017-02-09 09:11:53,US,Frisco
2017-02-09 09:11:54,US,Edmonds
